carbon-monoxide mg/mc,nitrogen-dioxide ug/mc,ozone ug/mc,particulate-matter10 ug/mc,particulate-matter2.5 ug/mc,sulphur dioxide ug/mc,air_temperature °C,global_radiation W/mq,precipitation mm,relative_humidity %,wind10m_direction gN,wind10m_speed m/s
0.6333333333333333,45.666666666666664,104.33333333333333,4.666666666666667,5.333333333333333,1.0,19.62222222222222,26.333333333333332,0.0,37.111111111111114,175.33333333333334,2.4444444444444446
0.5,6.333333333333333,80.66666666666667,11.666666666666666,7.0,1.0,10.433333333333332,0.0,0.3333333333333333,90.33333333333333,305.77777777777777,2.533333333333333
0.6,21.333333333333332,55.666666666666664,5.333333333333333,3.3333333333333335,2.0,15.944444444444448,747.4444444444445,0.0,52.0,153.88888888888889,1.4444444444444444
0.6,24.666666666666668,79.66666666666667,3.0,3.3333333333333335,1.0,19.166666666666668,476.55555555555554,0.0,46.0,281.22222222222223,3.1333333333333333
0.6666666666666666,46.0,65.66666666666667,6.666666666666667,5.333333333333333,1.0,15.266666666666664,28.444444444444443,0.0,63.44444444444444,178.0,1.5333333333333337
0.6,17.333333333333332,53.333333333333336,9.666666666666666,4.666666666666667,1.0,10.866666666666665,0.0,0.0,71.22222222222223,289.8888888888889,1.5888888888888886
0.6,24.333333333333332,70.33333333333333,7.0,2.0,1.6666666666666667,17.200000000000003,873.0,0.0,39.55555555555556,325.22222222222223,4.0777777777777775
0.6,21.333333333333332,91.66666666666667,3.0,2.3333333333333335,1.0,21.000000000000004,363.8888888888889,0.0,33.44444444444444,305.3333333333333,3.2777777777777777
0.6333333333333333,32.333333333333336,85.66666666666667,3.6666666666666665,3.3333333333333335,1.0,19.755555555555556,15.0,0.0,34.0,197.11111111111111,3.1555555555555554
0.6,21.0,64.0,12.666666666666666,5.333333333333333,2.0,12.588888888888889,0.0,0.0,79.33333333333333,79.66666666666667,1.8333333333333333
0.6333333333333333,34.0,45.0,12.333333333333334,5.333333333333333,2.3333333333333335,15.544444444444444,485.55555555555554,0.0,52.111111111111114,243.88888888888889,1.411111111111111
0.6,37.666666666666664,102.66666666666667,5.0,5.333333333333333,1.3333333333333333,20.98888888888889,436.6666666666667,0.0,37.22222222222222,247.88888888888889,4.333333333333332
0.6,33.333333333333336,106.33333333333333,8.0,6.0,1.0,19.422222222222224,47.888888888888886,0.0,38.888888888888886,159.0,5.066666666666666
0.5,6.666666666666667,89.66666666666667,11.666666666666666,6.0,1.0,14.433333333333334,0.0,0.0,59.44444444444444,165.66666666666666,2.3666666666666667
0.6333333333333333,41.333333333333336,62.0,15.666666666666666,5.0,1.0,12.166666666666664,212.55555555555554,0.0,79.11111111111111,193.55555555555554,0.8111111111111112
0.6,25.333333333333332,89.33333333333333,4.0,3.3333333333333335,1.0,19.222222222222218,703.0,0.0,55.44444444444444,187.88888888888889,1.7999999999999998
0.6,24.333333333333332,85.66666666666667,9.0,6.0,1.0,17.58888888888889,36.111111111111114,0.0,61.333333333333336,277.22222222222223,3.511111111111111
0.5,11.0,60.666666666666664,18.333333333333332,8.666666666666666,1.0,13.566666666666668,0.0,0.08888888888888889,85.0,215.11111111111111,0.9333333333333333
0.5,12.333333333333334,72.0,7.0,5.0,1.0,17.166666666666668,795.4444444444445,0.0,60.111111111111114,256.22222222222223,6.722222222222221
0.5,12.0,68.66666666666667,2.3333333333333335,4.666666666666667,1.0,14.711111111111112,631.4444444444445,0.0,59.22222222222222,235.66666666666666,2.377777777777778
0.6666666666666666,41.666666666666664,54.666666666666664,2.3333333333333335,3.0,1.0,16.62222222222222,37.333333333333336,0.0,59.666666666666664,171.22222222222223,1.1666666666666665
0.6,18.333333333333332,26.333333333333332,10.0,5.0,1.0,11.766666666666666,0.0,0.0,84.55555555555556,246.0,0.8333333333333334
0.6,39.666666666666664,11.0,19.0,5.333333333333333,1.0,10.633333333333333,72.77777777777777,0.4444444444444444,90.33333333333333,317.8888888888889,2.3888888888888884
0.6,36.0,25.0,14.0,5.0,1.0,11.61111111111111,80.33333333333333,0.044444444444444446,90.44444444444444,323.1111111111111,2.1555555555555554
0.6666666666666666,63.0,32.666666666666664,14.333333333333334,5.0,1.0,11.088888888888887,13.0,0.4666666666666667,94.0,207.66666666666666,0.6333333333333333
0.5,17.333333333333332,51.0,16.333333333333332,6.666666666666667,1.0,11.066666666666666,0.0,0.022222222222222223,95.44444444444444,284.22222222222223,0.5111111111111112
0.6333333333333333,31.666666666666668,48.666666666666664,6.666666666666667,4.0,1.6666666666666667,16.7,540.5555555555555,0.0,72.66666666666667,164.33333333333334,1.2000000000000002
0.6,21.666666666666668,81.33333333333333,1.6666666666666667,2.6666666666666665,1.0,17.98888888888889,590.8888888888889,0.022222222222222223,56.888888888888886,307.8888888888889,5.311111111111112
0.6999999999999998,65.0,73.66666666666667,3.3333333333333335,3.0,1.0,18.188888888888886,15.666666666666666,0.0,71.22222222222223,261.44444444444446,0.8444444444444446
0.6,13.666666666666666,39.0,11.666666666666666,5.333333333333333,1.0,10.488888888888889,0.0,0.0,71.33333333333333,130.88888888888889,1.7444444444444442
0.6,22.666666666666668,47.0,10.666666666666666,3.0,2.0,15.38888888888889,850.3333333333334,0.0,52.44444444444444,259.6666666666667,1.8777777777777775
0.5333333333333333,18.0,103.66666666666667,3.6666666666666665,4.333333333333333,1.3333333333333333,21.866666666666664,854.8888888888889,0.0,40.666666666666664,264.22222222222223,4.477777777777778
0.5,23.666666666666668,106.0,8.0,8.0,1.0,19.88888888888889,33.44444444444444,0.0,49.0,267.0,5.4
